source,target,weight
Nintendo,Sony Computer Entertainment,2
Nintendo,MTV Games,1
Nintendo,Electronic Arts,2
Nintendo,Activision,2
Electronic Arts,Activision,1
Sony Computer Entertainment,MTV Games,1
Sony Computer Entertainment,Activision,1
